cleaning,polarity,sentimen
"Pemerintah gaspol dorong inovasi kendaraan listrik, masa depan Indonesia makin cerah!",0.0,Netral
Pemerintah dengan pemeriksaan kesehatan gratis menunjukkan kepedulian terhadap kualitas hidup rakyat Indonesia PemerintahSehatkanBangsa,0.4,Positif
"Opini cuma omdo. 78,5 persen penduduk Timor Timur ingin merdeka atau memisahkan diri, dan menolak tawaran otonomi khusus dari Indonesia ngomong industri yg suport manufaktur pesawat? Pendaannya saja di hentikan oleh pemerintah karena krismon Terus semua salahin Bj Habibie?",0.18571428571428572,Positif
Program ini adalah bagian dari upaya besar pemerintah dalam memperbaiki sistem kesehatan Indonesia PemerintahSehatkanBangsa,0.8,Positif
"Pemerintah indonesia ni knp demen bgt pake ai sih, generasi emas preketek kalau masalah edit² gambar larinya ke ai",0.3,Positif
"Antrean pembelian gas melon 3 kg di berbagai daerah di Indonesia sejak 1 Februari lalu terjadi karena rakyat harus membeli ke agen dan tidak lagi ke pengecer. Pemerintah berpendapat jika pembelian elpiji 3 kg langsung di agen, maka subsidi akan tepat sasaran. Namun hal ini",0.12857142857142856,Positif
"Wacana kelola tambang oleh pemerintah untuk universitas benar-benar menimbulkan tanda tanya: apa bentuk kerjasamanya? Dengarkan selengkapnya SuarAkademia terbaru bersama Rektor , Fathul Wahid di sini: KampusTambang",0.35000000000000003,Positif
Lah kan dia udah sering keritik pemerintah? Berarti udah sadar dong kenapa masih diserang bjirrrr kalian beneran milih pemimpin berdasarkan idola ya bukan beneran pengen Indonesia maju?,0.2,Positif
Indonesia menuju era baru dengan dukungan pemerintah di industri kendaraan listrik,0.13636363636363635,Positif
"Mulai 2025 Siswa Lulus Dapat Ijazah Elektronik, Bisa Cetak Mandiri Pemerintah mulai menerapkan aturan ijazah elektronik dan cetak mandiri tahun 2025 untuk meminimalisasi pemalsuan ijazah di Indonesia. ",0.0,Netral
"MASYARAKAT UDAH MENDERITA KARENA PEMERINTAH GOBLOK BOROS ANGGARAN DEMI PROYEK NGASAL MASIH DITUDUH MAU INDONESIA INI GAK MAJU???? MULUTMU COOKKK ASELI LAYAK DIBURU ORANG MACEM LU GINI, HATI2 KALO KELUAR RUMAH LU ANJING!!",-0.018750000000000006,Negatif
Indonesia bersiap menjadi pemimpin global dalam industri kendaraan listrik berkat kebijakan visioner dari pemerintah kita,0.1,Positif
Pemerintah berkomitmen untuk memberikan akses kesehatan yang lebih merata di seluruh Indonesia PemerintahSehatkanBangsa,0.5,Positif
Indonesia siap cetar di industri kendaraan listrik berkat kebijakan visioner dari pemerintah kita,0.2,Positif
akhir-akhir ini malas buka x karena berita yang menyangkut Indonesia sangat tai. berdampak ke mood gue yang jadi jelek karena muak banget sama pemerintah tai,-0.11000000000000001,Negatif
"Pemerintah punya roadmap jelas, kendaraan listrik jadi ujung tombak transformasi energi di Indonesia",0.10000000000000002,Positif
Indonesia dongkrak industri kendaraan listrik bareng pemerintah biar jadi raja pasok dunia,0.0,Netral
"Sengaja bngt pemerintah ngadu domba rakyat satu sama lain. Biar rakyat nggak satu suara, makin dah indonesia hancur berkeping-keping.",0.2916666666666667,Positif
RIP pendidikan dan literasi Indonesia. Pemerintah sepertinya ingin rakyatnya bodoh supaya mudah diatur dan didikte.,-0.1833333333333333,Negatif
"Dengan pemerintah, Indonesia on track jadi king of vehicle supply chain dunia",0.0,Netral
Tapi Kaum Koar2 mereka tidak terima Indonesia maju. Mereka sengaja dimanfaatkan oleh barat utk membuat kekacauan dgn program pemerintah agar Indonesia tidak maju2.,0.0,Netral
"In this economy (in Indonesia), yang posisinya di atas ketawa terbahak-bahak, yang ditengah harap-harap cemas, yang di bawah saling makan Jancok emang pemerintah dzalim asw",-0.125,Negatif
Setan iri dan cemburu akan betapa jahatnya pemerintah Indonesia,-1.0,Negatif
"Anjay siapa sih yg buat UU anggota DPR dapet pensiun seumur hidup??? Bener² jd beban negara, klo pemerintah serius mau berhemat coba hapuskan aturan tsb. Mobil pejabat max innova.",-0.06666666666666665,Negatif
"Pengobatan kanker di Indonesia sudah maju - Kita punya Rumah Sakit Khusus Kanker (RS Dharmais) -> peralatannya komplit, dokter ahlinya lengkap - Rumah Sakit Pemerintah lainnya dan RS Swasta banyak sekali yg dilengkapi dokter ahli, peralatan penunjang medis dan obat-obatan utk",0.23928571428571427,Positif
Presiden Prabowo Subianto menegaskan komitmennya untuk mengambil tindakan tegas terhadap aparat negara yang menghalangi kebijakan pemerintah yang bertujuan untuk membantu masyarakat Indonesia. KomitmenPrabowo BekerjaUntukRakyat Ayobacanews,-0.05,Negatif
Indonesia bersiap jadi pusat perhatian dunia dalam industri kendaraan listrik berkat kebijakan pemerintah,0.05,Positif
"Realita indonesia, kebanjiran kelaparan kesusahan gak bs ngapa2in bikin frustrasi ....si ibu nyari hiburan ke tetangga si bpk nyari pelampiasan ke anak...pemerintah zolim kpd rakyat",0.15,Positif
"Ketua PERAK Indonesia, Fiyatri perihatin dengan kebijakan pemerintah yang sempat melarang penjualan gas LPG 3 kg melalui pengecer. Masalah utama dalam distribusi gas LPG 3 kg bukanlah keberadaan pengecer, tetapi lemahnya pengawasan dalam distribusi.",-0.10416666666666667,Negatif
Rencana mau pulang indonesia tapi dengan kondisi sekarang pemerintah serba potong anggaran kok jd ragu,-0.4,Negatif
"Pemerintah siap meluncur ke depan, Indonesia mencetak sejarah di mobil listrik global",0.1,Positif
"Pemerintah melibas jalan panjang, Indonesia mantap jadi jawara elektrik",0.375,Positif
"Indonesia tancap gas jadi pusat kendaraan listrik global, semua ini berkat gebrakan revolusioner pemerintah",0.03333333333333333,Positif
"Pemerintah luncurkan terobosan, Indonesia siap ngambil peran besar",0.1,Positif
 semoga pemerintah Indonesia mau menampung para pengungsi Palestina dan Rohingya ketika sesama negara Arab cuma omon2,0.0,Netral
Pemerintah Perkuat Validasi Data Siswa Demi Kelancaran Program Indonesia Pintar,0.30714285714285716,Positif
Pemerintah tegas dalam memberantas praktik korupsi di Indonesia. BerantasKorupsi PrabowoBerantasKorupsi,-0.2,Negatif
Menuju masa depan hijau bareng industri kendaraan listrik Indonesia. Ayo dukung upaya pemerintah,-0.1,Negatif
Indonesia siap gegerkan industri kendaraan listrik global dengan kebijakan top dari pemerintah,0.2333333333333333,Positif
Tumben pemerintah berani melakukan penyegelan segala bentuk ketidak beneran para china turunan dalam menjalankan bisnis nya . Rakyat indonesia harus menjadi prioritas apalagi rakyat banyak,0.5,Positif
"Setelah IKN ( smart city terwujud), maka pemerintah yg tidak disukai harus dilengserkan dg memakai suara rakyatnya sendiri. Pemerintahan satu dunia )NWO tdk akan membiarkan Indonesia menguasai IKN walau Indonesia di intimidasi untuk bangun IKN.",0.1714285714285714,Positif
Peraturan ketat yang melarang kepemilikan pribadi atas kucing besar kini sedang dalam proses pengesahan oleh pemerintah provinsi Punjab. [6],0.10714285714285714,Positif
"Indonesia memiliki potensi besar dalam industri mobil listrik dan baterai EV. Diperlukan kolaborasi antara pemerintah, industri dan lembaga penelitian untuk mencapai target nasional, serta kesiapan ketersediaan SPBU listrik yg memadai",0.37777777777777777,Positif
"Kerja keras pemerintah adalah pondasi untuk Indonesia yang lebih kuat, lebih dihormati, dan lebih diakui di dunia! RAKYAT PRIORITAS UTAMA",0.24999999999999997,Positif
Indonesia on its way! Pemerintah support supaya kita jadi leader kendaraan listrik global,0.0,Netral
Pemerintah Indonesia lagi di fasa petani durian yang sedang jualan kayu pohon durian.,0.0,Netral
"Pemerintah bekerja keras agar Indonesia bisa tampil lebih kuat, lebih dihormati, dan lebih dihargai di kancah dunia! RAKYAT PRIORITAS UTAMA",0.24999999999999997,Positif
Pemerintah yang bekerja serius akan memimpin Indonesia menuju posisi terhormat di dunia! RAKYAT PRIORITAS UTAMA,-0.12499999999999999,Negatif
Pemerintah harus memastikan Indonesia naik kelas dengan kerja keras dan kebijakan yang tepat! RAKYAT PRIORITAS UTAMA,0.029265873015872995,Positif
Indonesia menuju masa depan ramah lingkungan dan inovatif dengan upaya pemerintah dalam kendaraan listrik,0.2916666666666667,Positif
Pemerintah yang serius akan mewujudkan cita-cita Indonesia sebagai negara maju! RAKYAT PRIORITAS UTAMA,-0.013888888888888886,Negatif
Kasian ternak Mulyono. Sudah jelas-jelas Dana IKN untuk tahun 2025 diblokir. Apanya yg mau dibuka DPR? Ya ajukan lagi untuk RAPBN 2026. Itupun kalau diajukan Pemerintah. Dan kalau disetujui DPR juga.,-0.09999999999999999,Negatif
"Style Indonesia akhir2 ini... koar2 dulu di medsos, dibahas lalu dipikir pake otak belakangan. Bodo, gw mau bitter sama semua sendi2 negara ini. Cinta bener gw sama Indonesia tapi dikhianatinnya sejahat ini sama pemerintah dan jajarannya.",-0.030952380952380936,Negatif
Indonesia harus dipimpin oleh pemerintah yang serius dan berdedikasi untuk kemajuan! RAKYAT PRIORITAS UTAMA,-0.12499999999999999,Negatif
Sebagai mitra strategis pemerintah terus berkoordinasi dan berkolaborasi dengan semua pihak untuk menyukseskan pelaksanaan program strategis Presiden Prabowo Subianto. Salah satunya adalah pembangunan 3 juta rumah untuk masyarakat berpenghasilan rendah (MBR).,0.0,Netral
"Dukung pemerintah, Indonesia kuatkan posisi dalam industri kendaraan listrik global",0.0,Netral
"Kebangkitan indonesia itu ditandai dg sandang pangan papan murah rakyat gak antri gas, pemerintah lebih banyak eksport dibanding import, kl IKN beres mmg bisa mendatangkan wisatawan spt universal studio yg banyak dikunjungi",0.25,Positif
Kerja keras pemerintah adalah investasi terbaik untuk memastikan Indonesia menjadi pemain global! RAKYAT PRIORITAS UTAMA,0.21874999999999997,Positif
"Dengan komitmen penuh, pemerintah berusaha keras untuk menjadikan Indonesia lebih dihormati dan berpengaruh di dunia internasional! RAKYAT PRIORITAS UTAMA",0.145,Positif
Pemerintah berupaya untuk memastikan bahwa layanan kesehatan tersedia secara merata di seluruh wilayah Indonesia PemerintahSehatkanBangsa,0.4,Positif
Pemerintah berkomitmen untuk memastikan rakyat Indonesia sehat dan sejahtera PemerintahSehatkanBangsa,0.5,Positif
Pemberantasan judi online adalah langkah besar pemerintah untuk menciptakan Indonesia yang lebih baik. PemerintahSehatkanBangsa,0.3333333333333333,Positif
Swasembada energi menjadi suatu keniscayaan bagi Indonesia karena Pemerintah berupaya mengimplementasikan berbagai langkah. SwasembadaEnergi KemandirianEnergi TransisiEnergi AstaCita,0.0,Netral
Pemerintah kencengin upaya supaya Indonesia jadi pemain top di pasar mobil listrik,0.5,Positif
"Level up kendaraan listrik jadi misi besar pemerintah, Indonesia siap go big di arena global",0.25,Positif
"Gebrakan pemerintah di kendaraan listrik, Indonesia siap show off globally",0.1,Positif
"Polemik LPG 3 Kg, Apa Solusi Terbaiknya? “Pembatalan kebijakan yang hanya berselang beberapa hari setelah diterapkan itu, secara tidak langsung menambah daftar panjang berkurangnya rasa percaya masyarakat pada pemerintah Indonesia.” ",0.1875,Positif
Kamar Dagang dan Industri (Kadin) Indonesia menyatakan pihaknya sangat mendukung program pemerintah 3 juta rumah. Hal tersebut dikatakan oleh Ketua Umum Kadin Indonesia Anindya Bakrie di kantor Kadin Indonesia dalam gelaran Sustainability In The Real Estate Sector: ESG and Green,0.14444444444444443,Positif
"Meski masih menghadapi berbagai tantangan, BI memperkirakan ekonomi Bali ke depan tetap tumbuh kuat. Tentunya, selain sinergi erat Bank Indonesia dengan Pemerintah, dukungan Semeton Rupiah BeriMakna penting dlm menjaga optimisme mewujudkan Bali yg tangguh, hijau & sejahtera",0.04074074074074072,Positif
Bangga banget sama usaha pemerintah buat dorong Indonesia jadi pemain utama dalam rantai pasok kendaraan listrik dunia,0.53125,Positif
"Langkah berani pemerintah dorong Indonesia jadi pusat industri listrik dunia, kita siap go green!",0.16250000000000003,Positif
Indonesia siap jadi sorotan dalam industri kendaraan listrik berkat gebrakan hebat pemerintah kita,0.4000000000000001,Positif
"Dengan upaya inovatif pemerintah, Indonesia siap pimpin era kendaraan listrik global",0.2333333333333333,Positif
Inisiatif pemerintah gas abis bikin kendaraan listrik jadi masa depan Indonesia yang bersih dan hijau,0.05555555555555556,Positif
Pemerintah yang bekerja keras akan membawa Indonesia meraih posisi terhormat di dunia! RAKYAT PRIORITAS UTAMA,0.29166666666666663,Positif
Kemlu RI menyampaikan Pemerintah RI sudah melakukan persiapan jika kebijakan penutupan USAID terbukti memberikan dampak langsung terhadap kerja sama Indonesia dan Amerika Serikat.,-0.012499999999999997,Negatif
Hebat! Indonesia bersama pemerintah siap jadi ikon industri kendaraan listrik,0.6,Positif
"Indonesia bersiap-siap naik panggung global lewat kendaraan listrik, thanks pemerintah!",0.15,Positif
Kebijakan pemerintah bikin Indonesia siap cetar di panggung global kendaraan listrik,0.1,Positif
Indonesia bakal ngehits di pasar kendaraan listrik dunia berkat dukungan top dari pemerintah,0.35,Positif
Pemerintah yang tangguh adalah kunci utama bagi Indonesia untuk meraih posisi terhormat di dunia! RAKYAT PRIORITAS UTAMA,0.1111111111111111,Positif
Indonesia maju bareng pemerintah supaya mobil listrik kita jadi jantung rantai global,0.0,Netral
"Pekerjaan besar menanti, Indonesia butuh pemerintah yang serius untuk bersaing di kancah dunia! RAKYAT PRIORITAS UTAMA",-0.011904761904761899,Negatif
Indonesia gaspol ke masa depan listrik yang cerah berkat kebijakan cerdas pemerintah kita,0.2785714285714286,Positif
"Pemerintah Indonesia gaspol dorong transformasi industri menuju kendaraan listrik, siap bersaing di tingkat dunia",0.2,Positif
Pemerintah yang bekerja serius akan membuka pintu kesuksesan untuk Indonesia di dunia! RAKYAT PRIORITAS UTAMA,0.052083333333333336,Positif
Pemerintah harus punya visi besar dan bekerja serius untuk menaikkan kelas Indonesia! RAKYAT PRIORITAS UTAMA,-0.08333333333333333,Negatif
Siap-siap! Indonesia bakal jadi sorotan dunia di industri kendaraan listrik berkat langkah cerdas pemerintah,0.22142857142857142,Positif
Setiap kebijakan pemerintah bertujuan untuk menjadikan Indonesia negara yang lebih dihormati dan lebih berpengaruh di dunia! RAKYAT PRIORITAS UTAMA,0.4305555555555556,Positif
"Agar Indonesia naik kelas, semua elemen negara harus bekerja bersama dengan pemerintah yang fokus! RAKYAT PRIORITAS UTAMA",0.16666666666666666,Positif
Pemerintah hadir untuk memastikan seluruh rakyat Indonesia sehat PemerintahSehatkanBangsa,0.25,Positif
Pemerintah propel Indonesia melejit jadi bintang global vehicle chain lewat listrik,0.0,Netral
"Dengan dukungan pemerintah, Indonesia siap jadi pemain andalan dalam industri kendaraan listrik dunia",0.2,Positif
"Kendaraan listrik jadi andalan, pemerintah bikin Indonesia makin berkelas di kancah dunia",0.3,Positif
Pemerintah terus berinovasi untuk memastikan rakyat Indonesia mendapatkan pelayanan kesehatan yang optimal PemerintahSehatkanBangsa,0.0,Netral
Target pemerintah jelas: Indonesia jadi nama besar di global vehicle supply chain dengan listrik,0.03333333333333334,Positif
Indonesia melaju pesat di kendaraan listrik berkat inisiatif brilian pemerintah kita,0.55,Positif
"Pemerintah Indonesia tengah bernegosiasi dengan Inggris untuk memulangkan narapidana kasus p3m34k0s44n, Reynhard Sinaga. Pemulangan ini rencananya akan dilakukan berdasarkan permintaan orang tua Reynhard. ReynhardSinaga Inggris Indonesia MetroTV",0.0,Netral
Pemerintah kita udah siapin segalanya biar Indonesia bisa jadi pemain utama di pasar kendaraan listrik dunia,0.0625,Positif
Langkah pemerintah ini akan mengurangi ketimpangan dalam akses kesehatan di Indonesia PemerintahSehatkanBangsa,0.0,Netral
"Buat kamu yang nggak mau melewatkan kesempatan untuk menjaga kesehatan, ada kabar gembira! Mulai dari tanggal 10 Februari 2025, pemerintah Indonesia melalui Kemenkes bakal meluncurkan program cek kesehatan gratis khusus untuk kamu yang ulang tahun.",0.425,Positif
